Timestamp,Tag 0,Tag 1
0.002566188,#N/A,#N/A
0.005272836,#N/A,#N/A
0.009066656,#N/A,#N/A
0.059774939,#N/A,#N/A
0.155669061,#N/A,#N/A
0.254000577,#N/A,#N/A
0.343272139,#N/A,#N/A
0.432496703,#N/A,#N/A
0.509834815,#N/A,#N/A
0.596174269,#N/A,#N/A
0.687805393,#N/A,#N/A
0.780112638,#N/A,#N/A
0.87713669,#N/A,#N/A
0.977441512,#N/A,#N/A
1.059113566,#N/A,#N/A
1.1495330400000001,#N/A,#N/A
1.240763151,#N/A,#N/A
1.323115566,#N/A,#N/A
1.402530169,#N/A,#N/A
1.495611922,#N/A,#N/A
1.579343467,#N/A,#N/A
1.663086845,#N/A,#N/A
1.754267402,#N/A,#N/A
1.851765614,#N/A,#N/A
1.944375411,#N/A,#N/A
2.037634255,#N/A,#N/A
2.120677179,#N/A,#N/A
2.211183171,#N/A,#N/A
2.295910073,#N/A,#N/A
2.378230082,#N/A,#N/A
2.462772394,#N/A,#N/A
2.5411005859999998,#N/A,#N/A
2.635917779,#N/A,#N/A
2.715281439,#N/A,#N/A
2.802225108,#N/A,#N/A
2.888599266,#N/A,#N/A
2.978696468,#N/A,#N/A
3.0730443530000002,#N/A,#N/A
3.172538798,#N/A,#N/A
3.269806366,#N/A,#N/A
3.354225181,#N/A,#N/A
3.446370521,#N/A,#N/A
3.546505625,#N/A,#N/A
3.630286411,#N/A,#N/A
3.713041248,#N/A,#N/A
3.7985539,#N/A,#N/A
3.887507209,#N/A,#N/A
3.96539337,#N/A,#N/A
4.049256637,#N/A,#N/A
4.138666922,#N/A,#N/A
4.235793511,#N/A,#N/A
4.321740212,#N/A,#N/A
4.412821234,#N/A,#N/A
4.505641307,#N/A,#N/A
4.599340146,#N/A,#N/A
4.695368435,#N/A,#N/A
4.775582584,#N/A,#N/A
4.870414093,#N/A,#N/A
4.9578123309999995,#N/A,#N/A
5.041011718,#N/A,#N/A
5.130342671,#N/A,#N/A
5.213425356,#N/A,#N/A
5.303828517,#N/A,#N/A
5.3909316480000005,#N/A,#N/A
5.472199338,#N/A,#N/A
5.558451962,#N/A,#N/A
5.638526336,#N/A,#N/A
5.723159685,#N/A,#N/A
5.804175009,#N/A,#N/A
5.891800578,#N/A,#N/A
5.988260603,#N/A,#N/A
6.080670126,#N/A,#N/A
6.172524231,#N/A,#N/A
6.270477717,#N/A,#N/A
6.360103778,#N/A,#N/A
6.451410501,#N/A,#N/A
6.547966247,#N/A,#N/A
6.648335739,#N/A,#N/A
6.738530051,#N/A,#N/A
6.820852025,#N/A,#N/A
6.922774773,#N/A,#N/A
7.00880203,#N/A,#N/A
