Timestamp,x,y,z,qx,qy,qz,qw
3.569793213,-0.11112216071134022,-0.24228438210305034,0.029134371957184046,-0.7033438810890976,0.11226020507541967,0.10731600040401132,0.6936773798735519
3.646308193,-0.09995419863783207,-0.24629769518149383,0.01690373239383517,-0.6890772077878835,0.1031478003512738,0.11652748369847878,0.7077813776392037
3.7263171699999997,-0.09266197465107293,-0.2503012233377341,0.020176985115588072,-0.6952758142064231,0.10246059952459263,0.1251040890395227,0.7003158820348484
3.825836393,-0.0840575831830912,-0.25194652310706245,0.017007224801872143,-0.6910435650084913,0.10689850307698168,0.13700368906447744,0.7016134908074247
3.908387231,-0.07969840592867565,-0.25266060219429703,0.01632170026176204,-0.6908969345348901,0.1101481074730547,0.14428573988691937,0.6997931448190103
4.00857989,-0.06798335542500387,-0.25033621189568506,0.01217305306912072,-0.6892912065053328,0.11534925793349582,0.15488763195995842,0.6982707231399949
4.090760362,-0.05649254147081783,-0.2490442318200349,0.0032871512339000806,-0.6834088792308853,0.117576682083677,0.1685233626509294,0.7005197383795854
4.204844941,-0.04812914001941988,-0.2443157656898455,-0.0034515307109767904,-0.6801785024355268,0.13333980958520286,0.17686667224821215,0.6987817114465648
4.301559213,-0.04583625803964955,-0.244291364005001,-0.0026440197226015225,-0.6811975055666032,0.13473316641322874,0.1790432797143756,0.696965161444403
4.38388798,-0.039213065722459625,-0.24605501176026856,-0.006893651724427287,-0.6749583070265586,0.13406271364697475,0.18777303700201678,0.7008564468994277
4.480012648,-0.033491357152973446,-0.24641281104759186,-0.008021067502600518,-0.6728921786301705,0.1350786691542386,0.19318754256378928,0.7011764702812171
4.577823556,-0.029282319923392468,-0.2473387399211167,-0.011993383402894823,-0.6688688773340542,0.13178975406826599,0.19908479972782397,0.7039965398876904
4.66306129,-0.02556374756933269,-0.24784971166072914,-0.015573653952284421,-0.6684323492916253,0.12831314890319334,0.20038577295770124,0.7046839520204572
4.744043961,-0.021421232607808163,-0.24907997688218983,-0.01461453156951414,-0.6717834035391514,0.12899915135333295,0.1998936022387985,0.7015046867010015
4.828613517,-0.015875087762987523,-0.2517066756510982,-0.013010356263590784,-0.6726665677979531,0.1282127675594441,0.20088392855919524,0.7005189662302469
4.924710426,-0.012957806331927554,-0.25202921097239794,-0.011905486406732812,-0.673224760471746,0.13020717611207744,0.1985307661683163,0.7002856903159594
5.033648562,-0.003383069745116082,-0.25180303913854574,-0.014798278578567064,-0.6655160221706923,0.1339952376649457,0.19908840817528248,0.7067513751295045
5.140153059,0.012014641731016998,-0.25126251758858487,-0.018360042792831748,-0.6529324758936562,0.14423735676126603,0.20200075989130273,0.7155909864169893
5.221045508,0.02272331949819,-0.2510954958691201,-0.020469607314945907,-0.6409580156512089,0.15738240739892473,0.20396452886994232,0.7230505314130168
5.317557857,0.03660748835753036,-0.25106979404375407,-0.022113753687176822,-0.6332366994505376,0.17796258492386374,0.20686283440264405,0.7242571149661633
5.409630441,0.048779601254445824,-0.25017508075926237,-0.02440418995534573,-0.6312049322015076,0.18531512632774516,0.20928438434211963,0.7234906246726089
5.578865867,0.06304979135852509,-0.24583124985060473,-0.028199565565897138,-0.6264880468460151,0.19522672657445206,0.21581653221149588,0.7230646422100125
7.581298837,0.4239083379100096,-0.2746745604932185,0.0026506299233490464,-0.5509174205851837,0.3810452929062821,0.3813061587395058,0.6371028910286441
7.652322397,0.4510620663419718,-0.2805390635380134,0.0025240238954688295,-0.5479249648867573,0.40049311764757245,0.3936600498113916,0.6200123069369401
7.739947715,0.4634905526166957,-0.2796245295115245,0.0023281958612670177,-0.5336652243096874,0.4269136550108724,0.3925652203930922,0.6154987467619014
7.816829469,0.4681633288583642,-0.27901348806820664,0.006719125250008713,-0.5296510414228431,0.44455705500592557,0.38727046386300384,0.6098035642594181
7.891696911,0.49346995626473905,-0.2816211889401163,0.01712930043733492,-0.517044258860962,0.47819640356319115,0.390002499380198,0.5932044204785961
11.824200962,0.5015072668389453,-0.2597624867285342,0.0016968216330366902,-0.46741419266492806,0.4811059725830784,0.4790055222764838,0.5662285097634316
11.917898046,0.4764896751466561,-0.2606651395604302,-0.0010141980981249604,-0.4570407674301993,0.47929602418155837,0.46500062337082426,0.5875061517765671
11.972669509,0.43296753865852744,-0.2548637467030036,-0.004227510540337307,-0.4473083995370297,0.4788072298941357,0.4300456854025235,0.621063234116623
12.079430651,0.4192929268868361,-0.2531609888766176,0.00022915201072842666,-0.4833664920787645,0.45331339081038324,0.42554328189575275,0.616260269107829
12.140805893,0.41087740042958193,-0.2529336697603739,-0.01393330113753102,-0.4689557144554957,0.43579272535719427,0.4317842630479225,0.6353956158091169
13.70681246,0.13787329519133254,-0.24839416292791638,0.001946630576389745,-0.709801005486243,0.05123332072329734,0.08529500613310514,0.6973395452626617
13.798513585,0.11523329100476921,-0.25019505003307235,0.006713753221465427,-0.7151708325287639,0.049839078151429184,0.07677409391551462,0.6929303609256721
13.887559592,0.10102731967607281,-0.2505586412436859,0.007349634507214053,-0.7160594399504583,0.0479848048439091,0.07110158721065195,0.6927488009791528
13.95005745,0.08094942984592607,-0.2490210983791483,0.01031072962522429,-0.7200320098832456,0.04228536303408992,0.06496120626716016,0.6895983573768752
14.028662314,0.06537529995709486,-0.24947454419930026,0.010238233352894317,-0.718575834832982,0.04076644257516682,0.05592449194799093,0.6919966170106668
14.108839272,0.053467088901047996,-0.24889048842709804,0.0104705877180929,-0.7196941531386415,0.033164832192357885,0.05482237896924079,0.6913283782746512
14.187333396,0.04940519342739973,-0.2484674440409112,0.013582464809092863,-0.7232608403998567,0.0273799800804011,0.05610054757746748,0.6877476441227536
14.269472628,0.0421327577423041,-0.24954003958271517,0.010569918108577428,-0.7185446986228108,0.02457317029075301,0.054133876292810704,0.6929352053550393
14.367977048,0.018664950940868653,-0.25263271393472675,0.0075210541475800715,-0.711230743912214,0.021338076630400438,0.05067267401249983,0.7008051052241392
14.438838868,-0.006686619601556134,-0.25322393438162494,-0.0015073632267183638,-0.6957225583453313,0.02990465608678672,0.03549967291822588,0.7168093237231623
14.51892479,-0.052030917383111074,-0.24718923380620025,-0.00655039034676117,-0.6821878020165877,0.024943865794247455,0.00755299526778113,0.7307123637940585
14.59391312,-0.07427891375367175,-0.24186577040511562,-0.0041370887919237095,-0.6811480019742413,0.02111700275364148,-0.004101255446019726,0.7318296600336502
14.686736251,-0.09773330007174576,-0.23512731072920046,0.0027118236051173164,-0.6853007186224482,0.020925879969812544,-0.01399297073756245,0.7278249991398913
14.772668422,-0.10464396543238884,-0.23304818744412079,0.005144180222433962,-0.684193864676315,0.021042080742479596,-0.017890334246154535,0.7287770045205023
14.863731536,-0.11635279326961888,-0.23335593868563637,0.008400777145330553,-0.6821644328174484,0.01886837189561552,-0.016120030814181775,0.7307775419013695
19.268321057,-0.30798401979389933,-0.5145685156995767,0.038378986098402436,-0.690325693516248,-0.022182920372142978,-0.02380171290985432,0.722766790450164
19.328009928,-0.285293849873607,-0.5295085691356419,0.03838284009289518,-0.6893945324129652,-0.02936298194289033,-0.010827089482432122,0.723709726412372
19.450450748,-0.2854735859350872,-0.5194165596638248,0.03916326038815977,-0.6924742639304935,-0.020265407339129515,-0.017853774461804164,0.720936855623825
19.506752639,-0.28365607829212514,-0.515109029908347,0.04200992174079144,-0.6956776873924175,-0.011847199400126351,-0.023491258730723125,0.7178721055271321
19.616818856,-0.2706491808446942,-0.5151530610094678,0.03881104077708982,-0.6926454471752388,-0.008779927532194365,-0.023149195875383482,0.7208531834640574
19.717125922,-0.2471525795391111,-0.5196521419162929,0.04137299654763048,-0.6915992825783197,-0.0069094761565691165,-0.01729234213272322,0.7220413190254142
